trade_num,entry_time,exit_time,exit_reason,applied_sl_pts,actual_pnl,simulated_pnl,savings,regression_active
1998,2025-10-31 09:43:21,2025-10-31 09:45:20,Take Profit 1,5.0,1476.08,1476.08,0.0,True
1999,2025-10-31 09:43:21,2025-10-31 09:45:20,Take Profit 1,15.0,1476.08,1476.08,0.0,False
2000,2025-10-31 09:43:21,2025-10-31 09:45:20,Take Profit 1,15.0,1476.08,1476.08,0.0,False
2001,2025-10-31 09:43:21,2025-10-31 09:46:08,Trailing Stop,15.0,38.52,38.52,0.0,False
2002,2025-10-31 09:43:21,2025-10-31 09:46:08,Trailing Stop,10.0,38.52,38.52,0.0,True
2003,2025-10-31 09:43:21,2025-10-31 09:46:08,Trailing Stop,5.0,38.52,38.52,0.0,True
2004,2025-10-31 09:47:23,2025-10-31 09:47:54,Take Profit 1,5.0,371.13,371.13,0.0,True
2005,2025-10-31 09:47:23,2025-10-31 09:47:54,Take Profit 1,15.0,371.13,371.13,0.0,False
2006,2025-10-31 09:47:23,2025-10-31 09:47:54,Take Profit 1,15.0,371.13,371.13,0.0,False
2007,2025-10-31 09:47:23,2025-10-31 09:48:21,Trailing Stop,15.0,1045.93,1045.93,0.0,False
2008,2025-10-31 09:47:23,2025-10-31 09:48:21,Trailing Stop,10.0,1045.93,1045.93,0.0,True
2009,2025-10-31 09:47:23,2025-10-31 09:48:21,Trailing Stop,5.0,1045.93,1045.93,0.0,True
2010,2025-10-31 09:54:10,2025-10-31 09:54:40,Take Profit 1,5.0,367.79,367.79,0.0,True
2011,2025-10-31 09:54:10,2025-10-31 09:54:40,Take Profit 1,15.0,367.79,367.79,0.0,False
2012,2025-10-31 09:54:10,2025-10-31 09:54:40,Take Profit 1,15.0,367.79,367.79,0.0,False
2013,2025-10-31 09:54:10,2025-10-31 09:55:08,Take Profit 2,15.0,907.44,907.44,0.0,False
2014,2025-10-31 09:54:10,2025-10-31 09:55:08,Take Profit 2,15.0,907.44,907.44,0.0,False
2015,2025-10-31 09:54:10,2025-10-31 09:55:08,Take Profit 2,15.0,907.44,907.44,0.0,False
2016,2025-10-31 09:54:10,2025-10-31 09:55:23,Trailing Stop,15.0,1215.27,1215.27,0.0,False
2017,2025-10-31 09:54:10,2025-10-31 09:55:23,Trailing Stop,10.0,1215.27,1215.27,0.0,True
